name,id,type,date,value
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-06-20 17:36:49,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-06-21 05:34:59,1.9747
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-06-22 05:39:53,1.9623660130663714
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-06-23 06:04:25,1.9563531160762064
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-06-24 18:57:09,1.4766333369200062
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-06-24 22:13:15,2.4395007691262927
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-07-18 17:18:16,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-07-25 18:27:59,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-11 06:48:52,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-16 04:11:43,1.0608996851441646
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-16 04:11:45,2.0340797665238974
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-16 05:49:12,2.983290536646729
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-17 03:37:07,2.4541423672914533
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-17 03:37:09,3.3931903116281212
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-22 03:29:18,1.103323624401842
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-29 05:25:22,1.134387531827293
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-08-30 06:24:51,1.5527642331812426
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-09-16 05:31:49,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-09-27 04:38:49,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-10-17 17:31:21,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-11-03 04:11:52,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-11-28 02:16:40,1
Design,748838d8-1a53-4336-850a-03b73d03e021,habit,2016-12-05 07:16:30,1
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-08-01 23:05:57,2.7493557396900994
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-02 03:34:44,2.732934778726218
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-12 03:39:39,1
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-12 03:39:42,1.9747
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-16 05:31:43,1.1202610729244935
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-16 05:31:45,2.0919619092130466
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-20 06:18:52,1.2548166813151287
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-20 06:18:53,2.2231728034011944
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-20 20:31:04,2.0835032644878932
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-22 05:49:58,2.015409350159059
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-22 05:50:00,2.9650743690014587
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-23 02:59:31,2.445258956159511
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-23 02:59:40,3.384520691839761
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-23 02:59:50,4.3014451437821775
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-23 02:59:56,5.197076048613635
Taco Intake,f657283c-8f1e-46e0-b553-3478d32146d8,habit,2016-09-23 03:00:01,6.072385391945367
